FID,Type,Item name,Icon filename,Required level,Levels,Level0Filename,Level0PNGColorSpace,Level0BuildUnit,Level0BuildCost,Level0BuildXP,Level0EarnTime,Level0EarnUnit,Level0EarnAmount,Level0EarnXP,Level0BuildTime,Level1Filename,Level1PNGColorSpace,Level1BuildUnit,Level1BuildCost,Level1BuildXP,Level1EarnTime,Level1EarnUnit,Level1EarnAmount,Level1EarnXP,Level1BuildTime,Level2Filename,Level2PNGColorSpace,Level2BuildUnit,Level2BuildCost,Level2BuildXP,Level2EarnTime,Level2EarnUnit,Level2EarnAmount,Level2EarnXP,Level2BuildTime,Width,Height,PetRoomName,PetFaceIcon,DateOfStartOffer,DateOfEndOffer,PercentOffBuildCost,PercentOffRushCost,DateOfStartSale,DateOfEndSale,Category
10,GuestRoom,SWIMMING POOL,swimmingpool_icon.png,4,2,meadow_construction1_2x2.pvr,Automatic,treats,235,12,0,coins,0,0,1,meadow_construction2_2x2.pvr,Automatic,coins,1,0,0,coins,0,0,3,swimmingpool_2x2_1.pvr,Automatic,coins,1,0,36000,coins,3200,51,3,400,400,Water Bug,,,,,,,,1
20,GuestRoom,BOWLING ALLEY,bowlingalley_icon.png,8,2,underground_construction1_2x1.pvr,Automatic,treats,80,222,0,coins,0,0,1,underground_construction2_2x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,bowlingalley_2x1_2.pvr,Automatic,coins,1,0,64800,coins,7800,867,3,400,200,Bowling Beetle,,,,,,,,3
30,GuestRoom,THRONE ROOM,throneroom_icon.png,6,2,leaves_construction1_3x1.pvr,Automatic,treats,12,48,0,coins,0,0,1,leaves_construction2_3x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,throneroom_3x1_1.pvr,Automatic,coins,1,0,34200,coins,3000,225,3,600,200,Queen Bee,,,,,,,,2
31,GuestRoom,LIBRARY,library_icon.png,8,2,underground_construction1_2x1.pvr,Automatic,treats,75,220,0,coins,0,0,1,underground_construction2_2x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,library_2x1_1.pvr,Automatic,coins,1,0,86400,coins,10000,1111,3,400,200,Bookworm,,,,,,,,3
32,GuestRoom,NURSERY,nursery_icon.png,7,2,leaves_construction1_3x1.pvr,Automatic,treats,457,98,0,coins,0,0,1,leaves_construction2_3x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,nursery_3x1_1.pvr,Automatic,coins,1,0,57600,coins,6000,667,3,600,200,Caterpillar,,,,,,,,2
33,GuestRoom,PAINTING STUDIO,paintingstudio_icon.png,4,2,leaves_construction1_1x1.pvr,Automatic,treats,19,7,0,coins,0,0,1,leaves_construction2_1x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,paintingstudio_1x1_1.pvr,Automatic,coins,1,0,13680,coins,800,89,3,200,200,Painterpillar,,,,,,,,2
34,GuestRoom,TV ROOM,tvroom_icon.png,8,2,leaves_construction1_1x1.pvr,Automatic,coins,15000,178,0,coins,0,0,1,leaves_construction2_1x1.pvr,Automatic,coins,6400,72,0,coins,0,0,3,tvroom_1x1_1.pvr,Automatic,coins,8000,90,86400,coins,10000,1112,57600,200,200,Couch Potato Bug,,,,,,,,2
35,GuestRoom,ROYAL TREEHOUSE,royaltrunkroom_icon.png,5,2,trunk_construction1_1x2.pvr,Automatic,coins,1250,11,0,coins,0,0,1,trunk_construction2_1x2.pvr,Automatic,coins,400,4,0,coins,0,0,3,royaltrunkroom_1x2_1.pvr,Automatic,coins,500,6,21600,coins,1300,144,21600,200,400,Ant King,,,,,,,,0
36,GuestRoom,ROYAL UNDERGROUND,royalunderground_icon.png,10,2,underground_construction1_2x1.pvr,Automatic,treats,150,440,0,coins,0,0,1,underground_construction2_2x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,royalunderground_2x1_1.pvr,Automatic,coins,1,0,172800,coins,20000,2222,3,400,200,Ladybug Queen,,,,,,,,3
37,GuestRoom,MOVIE THEATRE,movieroom_icon.png,10,2,underground_construction1_1x2.pvr,Automatic,coins,65000,712,0,coins,0,0,1,underground_construction2_1x2.pvr,Automatic,coins,25600,288,0,coins,0,0,3,movieroom_1x2_1.pvr,Automatic,coins,1,0,345600,coins,40000,4448,230400,200,400,Movie Bug,,,,,,,,3
38,GuestRoom,HOSPITAL,hospitalroom_icon.png,9,2,meadow_construction1_2x1.pvr,Automatic,treats,24,96,0,coins,0,0,1,meadow_construction2_2x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,hospitalroom_2x1_1.pvr,Automatic,coins,1,0,21600,coins,2500,278,3,400,200,Centipede,,,,,,,,1
39,GuestRoom,ROYAL MEADOW,royalmeadow_icon.png,7,2,meadow_construction1_1x2.pvr,Automatic,coins,5000,89,0,coins,0,0,1,meadow_construction2_1x2.pvr,Automatic,coins,2000,36,0,coins,0,0,3,royalmeadow_1x2_1.pvr,Automatic,coins,2500,45,43200,coins,5000,556,28800,200,400,Meadow King,,,,,,,,1
40,GuestRoom,ANT WORKSHOP,carpentershop_icon.png,6,2,trunk_construction1_1x1.pvr,Automatic,coins,3500,44,0,coins,0,0,1,trunk_construction2_1x1.pvr,Automatic,coins,1300,18,0,coins,0,0,3,carpentershop_1x1_1.pvr,Automatic,coins,1800,22,28800,coins,1500,267,21600,200,200,Crafter Ant,,,,,,,,0
41,GuestRoom,CLASSROOM,classroom_icon.png,3,2,trunk_construction1_1x2.pvr,Automatic,treats,249,2,0,coins,0,0,1,trunk_construction2_1x2.pvr,Automatic,coins,1,0,0,coins,0,0,3,classroom_1x2_1.pvr,Automatic,coins,1,0,6000,coins,300,4,3,200,400,Professor,,,,,,,,0
42,GuestRoom,GROCERY STORE,grocerystore_icon.png,5,2,trunk_construction1_2x1.pvr,Automatic,treats,199,8,0,coins,0,0,1,trunk_construction2_2x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,grocerystore_2x1.pvr,Automatic,coins,1,0,24000,coins,1500,80,3,400,200,Grocer,,,,,,,,0
43,GuestRoom,SHOWROOM,showroom_icon.png,4,2,meadow_construction1_1x1.pvr,Automatic,treats,19,5,0,coins,0,0,1,meadow_construction2_1x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,showroom_1x1.pvr,Automatic,coins,1,0,18000,coins,1000,48,3,200,200,Ticket Bug,,,,,,,,1
44,GuestRoom,WATERFALL ROOM,waterfall_icon.png,6,2,meadow_construction1_2x1.pvr,Automatic,treats,349,42,0,coins,0,0,1,meadow_construction2_2x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,waterfall_2x1.pvr,Automatic,coins,1,0,18000,coins,2000,200,3,400,200,Bathing Bug,,,,,,,,1
101,Reception,RECEPTION,,1,0,reception_3x1.pvr,Automatic,treats,30,0,0,coins,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,200,0,0,,,,,,,0
102,ActivityRoom,WASHING,washing_icon.png,2,0,washing_3x1.pvr,Automatic,coins,50,1,1440,coins,15,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,200,0,0,,,,,,,2
103,ActivityRoom,PLAYGROUND,playground_icon.png,3,0,playground_3x1.pvr,Automatic,treats,17,19,10800,coins,500,56,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,200,0,0,,,,,,,1
104,ActivityRoom,CAFE,cafe_icon.png,3,0,cafe_3x1.pvr,Automatic,coins,10000,111,21600,coins,2000,222,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,200,0,0,,,,,,,0
105,ActivityRoom,DISCOLOUNGE,discolounge_icon.png,5,0,discolounge_3x1.pvr,Automatic,treats,120,96,43200,coins,5500,611,43200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,200,0,0,,,,,,,3
300,Plant,BAMBOO LADDER,bambooladder_icon.png,1,0,bambooladder_1x1.pvr,Automatic,coins,500,39,0,coins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,,,,,,,2
301,Plant,BIRD BATH,birdbath_icon.png,1,0,birdbath_2x2.pvr,Automatic,coins,500,39,0,coins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,,,,,,,1
302,Plant,CANDYCANE,candycane_icon.png,1,0,candycane_2x2.pvr,Automatic,coins,5000,19,0,coins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,,,,,,,3
303,Plant,CANDYCANE LIGHTNING BUG TORCH,candycane_lightningbugtorch_icon.png,1,0,candycane_lightningbugtorch_2x2.pvr,Automatic,coins,5000,39,0,coins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,,,,,,,2
304,Plant,DANDELION WEED,dandelionweed_icon.png,1,0,dandelionweed_1x1.pvr,Automatic,treats,2,19,0,coins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,,,,,,,1
305,Plant,GRASSHOPPER SPRING,grasshspring_icon.png,1,0,grasshspring_2x2.pvr,Automatic,treats,6,10,0,coins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,,,,,,,1
1163,KitchenRoom,TRUNK KITCHEN,trunk_kitchen_icon.png,4,0,trunk_kitchen_2x1.pvr,Automatic,coins,2000,15,10800,coins,0,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,200,0,0,,,,,,,0
1103,KitchenRoom,MEADOW KITCHEN,meadow_kitchen_icon.png,4,0,meadow_kitchen_2x1.pvr,Automatic,treats,99,15,10800,coins,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,200,0,0,,,,,,,1
1001,SocialRoom,CAFE,cafe_icon.png,5,0,cafe_3x1.pvr,Automatic,coins,5000,30,32400,coins,0,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,200,0,0,,,,,,,0
